PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATN	LOCA_NATE	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	ft	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATN_ft	LOCA_NATE_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_DPTH_ft	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
																									Ariel-CPT3	7.23	0.25			0.28			66.48	213.52																			
																									Ariel-CPT3	7.24	0.25			0.29			66.57	223.43																			
																									Ariel-CPT3	7.25	0.26			0.29			66.66	223.34																			
																									Ariel-CPT3	7.26	0.25			0.29			66.76	223.24																			
																									Ariel-CPT3	7.27	0.26			0.29			66.85	223.15																			
																									Ariel-CPT3	7.28	0.26			0.29			66.94	223.06																			
																									Ariel-CPT3	7.29	0.26			0.29			67.03	222.97																			
																									Ariel-CPT3	7.3	0.26			0.29			67.12	222.88																			
																									Ariel-CPT3	7.31	0.26			0.29			67.22	222.78																			
																									Ariel-CPT3	7.32	0.26			0.29			67.31	222.69																			
																									Ariel-CPT3	7.33	0.26			0.29			67.4	222.6																			
																									Ariel-CPT3	7.34	0.26			0.3			67.49	232.51																			
																									Ariel-CPT3	7.35	0.27			0.3			67.59	232.41																			
																									Ariel-CPT3	7.36	0.26			0.3			67.68	232.32																			
																									Ariel-CPT3	7.37	0.26			0.3			67.77	232.23																			
																									Ariel-CPT3	7.38	0.27			0.3			67.86	232.14																			
																									Ariel-CPT3	7.39	0.27			0.3			67.96	232.04																			
																									Ariel-CPT3	7.4	0.26			0.3			68.05	231.95																			
																									Ariel-CPT3	7.41	0.26			0.3			68.14	231.86																			
																									Ariel-CPT3	7.42	0.26			0.29			68.23	221.77																			
																									Ariel-CPT3	7.43	0.27			0.3			68.33	231.67																			
																									Ariel-CPT3	7.44	0.27			0.3			68.42	231.58																			
																									Ariel-CPT3	7.45	0.27			0.3			68.51	231.49																			
																									Ariel-CPT3	7.46	0.27			0.3			68.6	231.4																			
																									Ariel-CPT3	7.47	0.27			0.3			68.7	231.3																			
																									Ariel-CPT3	7.49	0.27			0.3			68.79	231.21																			
																									Ariel-CPT3	7.5	0.27			0.3			68.88	231.12																			
																									Ariel-CPT3	7.51	0.27			0.3			68.97	231.03																			
																									Ariel-CPT3	7.52	0.27			0.3			69.06	230.94																			
																									Ariel-CPT3	7.53	0.27			0.3			69.16	230.84																			
																									Ariel-CPT3	7.54	0.27			0.3			69.25	230.75																			
																									Ariel-CPT3	7.55	0.27			0.3			69.34	230.66																			
																									Ariel-CPT3	7.56	0.27			0.3			69.44	230.56																			
																									Ariel-CPT3	7.57	0.27			0.3			69.53	230.47																			
																									Ariel-CPT3	7.58	0.27			0.3			69.62	230.38																			
																									Ariel-CPT3	7.59	0.27			0.3			69.71	230.29																			
																									Ariel-CPT3	7.6	0.27			0.3			69.8	230.2																			
																									Ariel-CPT3	7.61	0.27			0.3			69.9	230.1																			
																									Ariel-CPT3	7.62	0.27			0.3			69.99	230.01																			
																									Ariel-CPT3	7.63	0.27			0.3			70.08	229.92																			
																									Ariel-CPT4	0.02	0			0			0.22	-0.22																			
																									Ariel-CPT4	0.03	0			0			0.31	-0.31																			
																									Ariel-CPT4	0.04	0			0.01			0.4	9.6																			
																									Ariel-CPT4	0.05	0.01			0.01			0.5	9.5																			
																									Ariel-CPT4	0.06	0.01			0.01			0.59	9.41																			
																									Ariel-CPT4	0.07	0.01			0.01			0.68	9.32																			
																									Ariel-CPT4	0.08	0.01			0.01			0.77	9.23																			
																									Ariel-CPT4	0.09	0.01			0.01			0.87	9.13																			
																									Ariel-CPT4	0.1	0.01			0.01			0.96	9.04																			
																									Ariel-CPT4	0.11	0.01			0.01			1.05	8.95																			
																									Ariel-CPT4	0.12	0.01			0.02			1.14	18.86																			
																									Ariel-CPT4	0.13	0.02			0.02			1.24	18.76																			
																									Ariel-CPT4	0.14	0.02			0.02			1.33	18.67																			
																									Ariel-CPT4	0.15	0.02			0.02			1.42	18.58																			
																									Ariel-CPT4	0.16	0.02			0.02			1.52	18.48																			
																									Ariel-CPT4	0.17	0.02			0.02			1.61	18.39																			
																									Ariel-CPT4	0.19	0.02			0.02			1.7	18.3																			
																									Ariel-CPT4	0.2	0.02			0.02			1.79	18.21																			
																									Ariel-CPT4	0.21	0.02			0.02			1.89	18.11																			
																									Ariel-CPT4	0.22	0.02			0.02			1.98	18.02																			
																									Ariel-CPT4	0.23	0.02			0.02			2.07	17.93																			
																									Ariel-CPT4	0.24	0.03			0.02			2.17	17.83																			
																									Ariel-CPT4	0.25	0.02			0.02			2.26	17.74																			
																									Ariel-CPT4	0.26	0.02			0.02			2.35	17.65																			
																									Ariel-CPT4	0.27	0.02			0.02			2.44	17.56																			
																									Ariel-CPT4	0.28	0.03			0.02			2.54	17.46																			
																									Ariel-CPT4	0.29	0.02			0.03			2.63	27.37																			
																									Ariel-CPT4	0.3	0.02			0.03			2.72	27.28																			
																									Ariel-CPT4	0.31	0.02			0.03			2.81	27.19																			
																									Ariel-CPT4	0.32	0.03			0.03			2.91	27.09																			
																									Ariel-CPT4	0.33	0.03			0.03			3	27																			
																									Ariel-CPT4	0.34	0.02			0.03			3.09	26.91																			
																									Ariel-CPT4	0.35	0.03			0.03			3.19	26.81																			
																									Ariel-CPT4	0.36	0.03			0.03			3.28	26.72																			
																									Ariel-CPT4	0.37	0.02			0.02			3.37	16.63																			
																									Ariel-CPT4	0.38	0.02			0.02			3.46	16.54																			
																									Ariel-CPT4	0.39	0.02			0.02			3.56	16.44																			
																									Ariel-CPT4	0.4	0.02			0.02			3.65	16.35																			
																									Ariel-CPT4	0.41	0.02			0.02			3.74	16.26																			
																									Ariel-CPT4	0.42	0.02			0.02			3.83	16.17																			
																									Ariel-CPT4	0.43	0.02			0.02			3.93	16.07																			
																									Ariel-CPT4	0.44	0.02			0.02			4.02	15.98																			
																									Ariel-CPT4	0.45	0.03			0.03			4.11	25.89																			
																									Ariel-CPT4	0.46	0.03			0.03			4.21	25.79																			
																									Ariel-CPT4	0.47	0.03			0.03			4.3	25.7																			
																									Ariel-CPT4	0.48	0.03			0.03			4.39	25.61																			
																									Ariel-CPT4	0.49	0.03			0.03			4.48	25.52																			
																									Ariel-CPT4	0.5	0.03			0.03			4.58	25.42																			
																									Ariel-CPT4	0.51	0.03			0.03			4.67	25.33																			
																									Ariel-CPT4	0.52	0.03			0.03			4.76	25.24																			
																									Ariel-CPT4	0.53	0.03			0.04			4.86	35.14																			
																									Ariel-CPT4	0.54	0.03			0.04			4.95	35.05																			
																									Ariel-CPT4	0.55	0.04			0.04			5.04	34.96																			
																									Ariel-CPT4	0.56	0.04			0.04			5.13	34.87																			
																									Ariel-CPT4	0.57	0.04			0.05			5.23	44.77																			
																									Ariel-CPT4	0.58	0.04			0.05			5.32	44.68																			
																									Ariel-CPT4	0.59	0.05			0.05			5.41	44.59																			
																									Ariel-CPT4	0.6	0.05			0.05			5.5	44.5																			
																									Ariel-CPT4	0.61	0.05			0.05			5.6	44.4																			
																									Ariel-CPT4	0.62	0.05			0.05			5.69	44.31																			
																									Ariel-CPT4	0.63	0.05			0.05			5.78	44.22																			
																									Ariel-CPT4	0.64	0.05			0.05			5.88	44.12																			
																									Ariel-CPT4	0.65	0.05			0.05			5.97	44.03																			
																									Ariel-CPT4	0.66	0.05			0.05			6.06	43.94																			
																									Ariel-CPT4	0.67	0.05			0.06			6.15	53.85																			
																									Ariel-CPT4	0.68	0.05			0.06			6.25	53.75																			
																									Ariel-CPT4	0.69	0.05			0.06			6.34	53.66																			
																									Ariel-CPT4	0.7	0.06			0.06			6.43	53.57																			
																									Ariel-CPT4	0.71	0.06			0.06			6.52	53.48																			
																									Ariel-CPT4	0.72	0.06			0.06			6.62	53.38																			
																									Ariel-CPT4	0.73	0.05			0.06			6.71	53.29																			
																									Ariel-CPT4	0.74	0.06			0.06			6.8	53.2																			
																									Ariel-CPT4	0.75	0.06			0.06			6.9	53.1																			
																									Ariel-CPT4	0.76	0.06			0.06			6.99	53.01																			
																									Ariel-CPT4	0.77	0.06			0.06			7.08	52.92																			
																									Ariel-CPT4	0.78	0.06			0.06			7.17	52.83																			
																									Ariel-CPT4	0.79	0.06			0.06			7.27	52.73																			
																									Ariel-CPT4	0.8	0.06			0.06			7.36	52.64																			
																									Ariel-CPT4	0.81	0.06			0.06			7.45	52.55																			
																									Ariel-CPT4	0.82	0.06			0.06			7.54	52.46																			
																									Ariel-CPT4	0.83	0.06			0.06			7.64	52.36																			
																									Ariel-CPT4	0.84	0.06			0.06			7.73	52.27																			
																									Ariel-CPT4	0.85	0.06			0.06			7.82	52.18																			
																									Ariel-CPT4	0.86	0.06			0.06			7.92	52.08																			
																									Ariel-CPT4	0.87	0.06			0.07			8.01	61.99																			
																									Ariel-CPT4	0.88	0.06			0.07			8.1	61.9																			
																									Ariel-CPT4	0.89	0.06			0.07			8.19	61.81																			
																									Ariel-CPT4	0.9	0.06			0.07			8.29	61.71																			
																									Ariel-CPT4	0.91	0.06			0.06			8.38	51.62																			
																									Ariel-CPT4	0.92	0.06			0.06			8.47	51.53																			
																									Ariel-CPT4	0.93	0.06			0.06			8.57	51.43																			
																									Ariel-CPT4	0.94	0.06			0.06			8.66	51.34																			
																									Ariel-CPT4	0.95	0.06			0.07			8.75	61.25																			
																									Ariel-CPT4	0.96	0.06			0.06			8.84	51.16																			
																									Ariel-CPT4	0.97	0.06			0.06			8.94	51.06																			
																									Ariel-CPT4	0.98	0.06			0.06			9.03	50.97																			
																									Ariel-CPT4	0.99	0.06			0.06			9.12	50.88																			
																									Ariel-CPT4	1	0.06			0.06			9.21	50.79																			
																									Ariel-CPT4	1.01	0.06			0.06			9.31	50.69																			
																									Ariel-CPT4	1.02	0.06			0.06			9.4	50.6																			
																									Ariel-CPT4	1.03	0.06			0.06			9.49	50.51																			
																									Ariel-CPT4	1.04	0.06			0.07			9.59	60.41																			
																									Ariel-CPT4	1.05	0.06			0.07			9.68	60.32																			
																									Ariel-CPT4	1.06	0.06			0.07			9.77	60.23																			
																									Ariel-CPT4	1.07	0.06			0.06			9.86	50.14																			
																									Ariel-CPT4	1.08	0.06			0.06			9.96	50.04																			
																									Ariel-CPT4	1.09	0.06			0.06			10.05	49.95																			
																									Ariel-CPT4	1.1	0.06			0.07			10.14	59.86																			
																									Ariel-CPT4	1.11	0.06			0.07			10.24	59.76																			
																									Ariel-CPT4	1.12	0.07			0.07			10.33	59.67																			
																									Ariel-CPT4	1.13	0.07			0.07			10.42	59.58																			
																									Ariel-CPT4	1.14	0.07			0.07			10.51	59.49																			
																									Ariel-CPT4	1.15	0.07			0.07			10.61	59.39																			
																									Ariel-CPT4	1.16	0.07			0.07			10.7	59.3																			
																									Ariel-CPT4	1.17	0.07			0.07			10.79	59.21																			
																									Ariel-CPT4	1.18	0.07			0.07			10.88	59.12																			
																									Ariel-CPT4	1.19	0.07			0.07			10.98	59.02																			
																									Ariel-CPT4	1.2	0.07			0.07			11.07	58.93																			
																									Ariel-CPT4	1.21	0.06			0.07			11.16	58.84																			
																									Ariel-CPT4	1.22	0.07			0.07			11.26	58.74																			
																									Ariel-CPT4	1.23	0.07			0.07			11.35	58.65																			
																									Ariel-CPT4	1.25	0.06			0.07			11.44	58.56																			
																									Ariel-CPT4	1.26	0.07			0.07			11.53	58.47																			
																									Ariel-CPT4	1.27	0.07			0.07			11.63	58.37																			
																									Ariel-CPT4	1.28	0.07			0.07			11.72	58.28																			
																									Ariel-CPT4	1.29	0.07			0.07			11.81	58.19																			
																									Ariel-CPT4	1.3	0.07			0.07			11.91	58.09																			
																									Ariel-CPT4	1.31	0.07			0.07			12	58																			
																									Ariel-CPT4	1.32	0.07			0.07			12.09	57.91																			
																									Ariel-CPT4	1.33	0.07			0.07			12.18	57.82																			
																									Ariel-CPT4	1.34	0.07			0.07			12.28	57.72																			
																									Ariel-CPT4	1.35	0.06			0.07			12.37	57.63																			
																									Ariel-CPT4	1.36	0.06			0.07			12.46	57.54																			
																									Ariel-CPT4	1.37	0.06			0.07			12.55	57.45																			
																									Ariel-CPT4	1.38	0.06			0.07			12.65	57.35																			
																									Ariel-CPT4	1.39	0.06			0.07			12.74	57.26																			
																									Ariel-CPT4	1.4	0.06			0.07			12.83	57.17																			
																									Ariel-CPT4	1.41	0.06			0.07			12.93	57.07																			
																									Ariel-CPT4	1.42	0.06			0.07			13.02	56.98																			
																									Ariel-CPT4	1.43	0.06			0.07			13.11	56.89																			
																									Ariel-CPT4	1.44	0.06			0.07			13.2	56.8																			
																									Ariel-CPT4	1.45	0.06			0.06			13.3	46.7																			
																									Ariel-CPT4	1.46	0.06			0.06			13.39	46.61																			
																									Ariel-CPT4	1.47	0.06			0.06			13.48	46.52																			
																									Ariel-CPT4	1.48	0.06			0.06			13.57	46.43																			
																									Ariel-CPT4	1.49	0.06			0.06			13.67	46.33																			
																									Ariel-CPT4	1.5	0.06			0.06			13.76	46.24																			
																									Ariel-CPT4	1.51	0.06			0.06			13.85	46.15																			
																									Ariel-CPT4	1.52	0.06			0.06			13.95	46.05																			
																									Ariel-CPT4	1.53	0.05			0.06			14.04	45.96																			
																									Ariel-CPT4	1.54	0.05			0.06			14.13	45.87																			
																									Ariel-CPT4	1.55	0.05			0.06			14.22	45.78																			
																									Ariel-CPT4	1.56	0.05			0.06			14.32	45.68																			
																									Ariel-CPT4	1.57	0.05			0.06			14.41	45.59																			
																									Ariel-CPT4	1.58	0.06			0.06			14.5	45.5																			
																									Ariel-CPT4	1.59	0.06			0.06			14.6	45.4																			
																									Ariel-CPT4	1.6	0.06			0.06			14.69	45.31																			
																									Ariel-CPT4	1.61	0.06			0.06			14.78	45.22																			
																									Ariel-CPT4	1.62	0.05			0.06			14.87	45.13																			
																									Ariel-CPT4	1.63	0.05			0.06			14.97	45.03																			
																									Ariel-CPT4	1.64	0.05			0.06			15.06	44.94																			
																									Ariel-CPT4	1.65	0.05			0.06			15.15	44.85																			
																									Ariel-CPT4	1.66	0.05			0.06			15.24	44.76																			
																									Ariel-CPT4	1.67	0.05			0.06			15.34	44.66																			
																									Ariel-CPT4	1.68	0.05			0.06			15.43	44.57																			
																									Ariel-CPT4	1.69	0.06			0.06			15.52	44.48																			
																									Ariel-CPT4	1.7	0.05			0.06			15.62	44.38																			
																									Ariel-CPT4	1.71	0.05			0.06			15.71	44.29																			
																									Ariel-CPT4	1.72	0.05			0.06			15.8	44.2																			
																									Ariel-CPT4	1.73	0.05			0.06			15.89	44.11																			
																									Ariel-CPT4	1.74	0.05			0.06			15.99	44.01																			
																									Ariel-CPT4	1.75	0.05			0.06			16.08	43.92																			
																									Ariel-CPT4	1.76	0.05			0.06			16.17	43.83																			
																									Ariel-CPT4	1.77	0.05			0.06			16.27	43.73																			
																									Ariel-CPT4	1.78	0.06			0.06			16.36	43.64																			
																									Ariel-CPT4	1.79	0.05			0.06			16.45	43.55																			
																									Ariel-CPT4	1.8	0.05			0.06			16.54	43.46																			
																									Ariel-CPT4	1.81	0.05			0.06			16.64	43.36																			
																									Ariel-CPT4	1.82	0.05			0.06			16.73	43.27																			
																									Ariel-CPT4	1.83	0.05			0.06			16.82	43.18																			
																									Ariel-CPT4	1.84	0.05			0.06			16.91	43.09																			
																									Ariel-CPT4	1.85	0.05			0.06			17.01	42.99																			
																									Ariel-CPT4	1.86	0.06			0.06			17.1	42.9																			
																									Ariel-CPT4	1.87	0.06			0.06			17.19	42.81																			
																									Ariel-CPT4	1.88	0.06			0.06			17.29	42.71																			
																									Ariel-CPT4	1.89	0.06			0.06			17.38	42.62																			
																									Ariel-CPT4	1.9	0.06			0.06			17.47	42.53																			
																									Ariel-CPT4	1.91	0.06			0.06			17.56	42.44																			
																									Ariel-CPT4	1.92	0.06			0.06			17.66	42.34																			
																									Ariel-CPT4	1.93	0.06			0.06			17.75	42.25																			
																									Ariel-CPT4	1.94	0.06			0.06			17.84	42.16																			
																									Ariel-CPT4	1.95	0.06			0.06			17.94	42.06																			
																									Ariel-CPT4	1.96	0.06			0.06			18.03	41.97																			
																									Ariel-CPT4	1.97	0.06			0.06			18.12	41.88																			
																									Ariel-CPT4	1.98	0.06			0.07			18.21	51.79																			
																									Ariel-CPT4	1.99	0.06			0.07			18.31	51.69																			
																									Ariel-CPT4	2	0.06			0.07			18.4	51.6																			
																									Ariel-CPT4	2.01	0.06			0.07			18.49	51.51																			
																									Ariel-CPT4	2.02	0.06			0.07			18.58	51.42																			
																									Ariel-CPT4	2.03	0.06			0.07			18.68	51.32																			
																									Ariel-CPT4	2.04	0.06			0.07			18.77	51.23																			
																									Ariel-CPT4	2.05	0.06			0.07			18.86	51.14																			
																									Ariel-CPT4	2.06	0.06			0.07			18.96	51.04																			
																									Ariel-CPT4	2.07	0.06			0.07			19.05	50.95																			
																									Ariel-CPT4	2.08	0.06			0.07			19.14	50.86																			
																									Ariel-CPT4	2.09	0.06			0.07			19.23	50.77																			
																									Ariel-CPT4	2.1	0.06			0.07			19.33	50.67																			
																									Ariel-CPT4	2.11	0.06			0.07			19.42	50.58																			
																									Ariel-CPT4	2.12	0.06			0.07			19.51	50.49																			
																									Ariel-CPT4	2.13	0.06			0.07			19.61	50.39																			
																									Ariel-CPT4	2.14	0.06			0.07			19.7	50.3																			
																									Ariel-CPT4	2.15	0.06			0.07			19.79	50.21																			
																									Ariel-CPT4	2.16	0.06			0.07			19.88	50.12																			
																									Ariel-CPT4	2.17	0.06			0.07			19.98	50.02																			
																									Ariel-CPT4	2.18	0.07			0.07			20.07	49.93																			
																									Ariel-CPT4	2.19	0.07			0.07			20.16	49.84																			
																									Ariel-CPT4	2.2	0.06			0.07			20.25	49.75																			
																									Ariel-CPT4	2.21	0.06			0.07			20.35	49.65																			
																									Ariel-CPT4	2.22	0.06			0.07			20.44	49.56																			
																									Ariel-CPT4	2.23	0.06			0.07			20.53	49.47																			
																									Ariel-CPT4	2.24	0.06			0.07			20.63	49.37																			
																									Ariel-CPT4	2.25	0.06			0.07			20.72	49.28																			
																									Ariel-CPT4	2.26	0.07			0.07			20.81	49.19																			
																									Ariel-CPT4	2.27	0.06			0.07			20.9	49.1																			
																									Ariel-CPT4	2.28	0.06			0.07			21	49																			
																									Ariel-CPT4	2.29	0.06			0.07			21.09	48.91																			
																									Ariel-CPT4	2.3	0.06			0.07			21.18	48.82																			
																									Ariel-CPT4	2.31	0.07			0.07			21.27	48.73																			
																									Ariel-CPT4	2.33	0.07			0.08			21.37	58.63																			
																									Ariel-CPT4	2.34	0.07			0.07			21.46	48.54																			
																									Ariel-CPT4	2.35	0.07			0.07			21.55	48.45																			
																									Ariel-CPT4	2.36	0.07			0.07			21.65	48.35																			
																									Ariel-CPT4	2.37	0.06			0.07			21.74	48.26																			
																									Ariel-CPT4	2.38	0.07			0.07			21.83	48.17																			
																									Ariel-CPT4	2.39	0.07			0.08			21.92	58.08																			
																									Ariel-CPT4	2.4	0.07			0.08			22.02	57.98																			
																									Ariel-CPT4	2.41	0.07			0.08			22.11	57.89																			
																									Ariel-CPT4	2.42	0.07			0.08			22.2	57.8																			
																									Ariel-CPT4	2.43	0.07			0.08			22.29	57.71																			
																									Ariel-CPT4	2.44	0.07			0.08			22.39	57.61																			
																									Ariel-CPT4	2.45	0.07			0.08			22.48	57.52																			
																									Ariel-CPT4	2.46	0.07			0.08			22.57	57.43																			
																									Ariel-CPT4	2.47	0.07			0.08			22.67	57.33																			
																									Ariel-CPT4	2.48	0.07			0.08			22.76	57.24																			
																									Ariel-CPT4	2.49	0.07			0.08			22.85	57.15																			
																									Ariel-CPT4	2.5	0.07			0.08			22.94	57.06																			
																									Ariel-CPT4	2.51	0.07			0.08			23.04	56.96																			
																									Ariel-CPT4	2.52	0.07			0.08			23.13	56.87																			
																									Ariel-CPT4	2.53	0.07			0.08			23.22	56.78																			
																									Ariel-CPT4	2.54	0.07			0.08			23.32	56.68																			
																									Ariel-CPT4	2.55	0.07			0.08			23.41	56.59																			
																									Ariel-CPT4	2.56	0.07			0.08			23.5	56.5																			
																									Ariel-CPT4	2.57	0.07			0.08			23.59	56.41																			
																									Ariel-CPT4	2.58	0.08			0.08			23.69	56.31																			
																									Ariel-CPT4	2.59	0.07			0.08			23.78	56.22																			
																									Ariel-CPT4	2.6	0.07			0.08			23.87	56.13																			
																									Ariel-CPT4	2.61	0.07			0.08			23.96	56.04																			
																									Ariel-CPT4	2.62	0.07			0.08			24.06	55.94																			
																									Ariel-CPT4	2.63	0.07			0.08			24.15	55.85																			
																									Ariel-CPT4	2.64	0.07			0.08			24.24	55.76																			
																									Ariel-CPT4	2.65	0.07			0.08			24.34	55.66																			
																									Ariel-CPT4	2.66	0.08			0.08			24.43	55.57																			
																									Ariel-CPT4	2.67	0.07			0.09			24.52	65.48																			
																									Ariel-CPT4	2.68	0.08			0.08			24.61	55.39																			
																									Ariel-CPT4	2.69	0.08			0.09			24.71	65.29																			
																									Ariel-CPT4	2.7	0.08			0.09			24.8	65.2																			
																									Ariel-CPT4	2.71	0.08			0.09			24.89	65.11																			
																									Ariel-CPT4	2.72	0.08			0.09			24.98	65.02																			
																									Ariel-CPT4	2.73	0.08			0.09			25.08	64.92																			
																									Ariel-CPT4	2.74	0.08			0.09			25.17	64.83																			
																									Ariel-CPT4	2.75	0.08			0.09			25.26	64.74																			
																									Ariel-CPT4	2.76	0.08			0.09			25.36	64.64																			
																									Ariel-CPT4	2.77	0.08			0.09			25.45	64.55																			
																									Ariel-CPT4	2.78	0.08			0.09			25.54	64.46																			
																									Ariel-CPT4	2.79	0.08			0.09			25.63	64.37																			
																									Ariel-CPT4	2.8	0.08			0.09			25.73	64.27																			
																									Ariel-CPT4	2.81	0.08			0.09			25.82	64.18																			
																									Ariel-CPT4	2.82	0.08			0.09			25.91	64.09																			
																									Ariel-CPT4	2.83	0.08			0.09			26.01	63.99																			
																									Ariel-CPT4	2.84	0.08			0.09			26.1	63.9																			
																									Ariel-CPT4	2.85	0.08			0.09			26.19	63.81																			
																									Ariel-CPT4	2.86	0.08			0.09			26.28	63.72																			
																									Ariel-CPT4	2.87	0.08			0.09			26.38	63.62																			
																									Ariel-CPT4	2.88	0.08			0.09			26.47	63.53																			
																									Ariel-CPT4	2.89	0.08			0.09			26.56	63.44																			
																									Ariel-CPT4	2.9	0.08			0.09			26.65	63.35																			
																									Ariel-CPT4	2.91	0.08			0.09			26.75	63.25																			
																									Ariel-CPT4	2.92	0.08			0.09			26.84	63.16																			
																									Ariel-CPT4	2.93	0.08			0.09			26.93	63.07																			
																									Ariel-CPT4	2.94	0.08			0.09			27.03	62.97																			
																									Ariel-CPT4	2.95	0.08			0.09			27.12	62.88																			
																									Ariel-CPT4	2.96	0.08			0.09			27.21	62.79																			
																									Ariel-CPT4	2.97	0.08			0.09			27.3	62.7																			
																									Ariel-CPT4	2.98	0.08			0.09			27.4	62.6																			
																									Ariel-CPT4	2.99	0.08			0.09			27.49	62.51																			
																									Ariel-CPT4	3	0.08			0.09			27.58	62.42																			
																									Ariel-CPT4	3.01	0.08			0.09			27.68	62.32																			
																									Ariel-CPT4	3.02	0.08			0.09			27.77	62.23																			
																									Ariel-CPT4	3.03	0.08			0.09			27.86	62.14																			
																									Ariel-CPT4	3.04	0.08			0.09			27.95	62.05																			
																									Ariel-CPT4	3.05	0.08			0.09			28.05	61.95																			
																									Ariel-CPT4	3.06	0.08			0.09			28.14	61.86																			
																									Ariel-CPT4	3.07	0.08			0.09			28.23	61.77																			
																									Ariel-CPT4	3.08	0.08			0.1			28.32	71.68																			
																									Ariel-CPT4	3.09	0.08			0.1			28.42	71.58																			
																									Ariel-CPT4	3.1	0.08			0.09			28.51	61.49																			
																									Ariel-CPT4	3.11	0.08			0.1			28.6	71.4																			
																									Ariel-CPT4	3.12	0.09			0.1			28.7	71.3																			
																									Ariel-CPT4	3.13	0.09			0.1			28.79	71.21																			
																									Ariel-CPT4	3.14	0.09			0.1			28.88	71.12																			
																									Ariel-CPT4	3.15	0.08			0.1			28.97	71.03																			
																									Ariel-CPT4	3.16	0.08			0.09			29.07	60.93																			
																									Ariel-CPT4	3.17	0.08			0.09			29.16	60.84																			
																									Ariel-CPT4	3.18	0.08			0.09			29.25	60.75																			
																									Ariel-CPT4	3.19	0.08			0.09			29.35	60.65																			
																									Ariel-CPT4	3.2	0.08			0.09			29.44	60.56																			
																									Ariel-CPT4	3.21	0.08			0.09			29.53	60.47																			
																									Ariel-CPT4	3.22	0.08			0.09			29.62	60.38																			
																									Ariel-CPT4	3.23	0.08			0.09			29.72	60.28																			
																									Ariel-CPT4	3.24	0.08			0.09			29.81	60.19																			
																									Ariel-CPT4	3.25	0.08			0.09			29.9	60.1																			
																									Ariel-CPT4	3.26	0.08			0.09			29.99	60.01																			
																									Ariel-CPT4	3.27	0.08			0.09			30.09	59.91																			
																									Ariel-CPT4	3.28	0.08			0.09			30.18	59.82																			
																									Ariel-CPT4	3.29	0.08			0.09			30.27	59.73																			
																									Ariel-CPT4	3.3	0.08			0.09			30.37	59.63																			
																									Ariel-CPT4	3.31	0.08			0.09			30.46	59.54																			
																									Ariel-CPT4	3.32	0.08			0.1			30.55	69.45																			
																									Ariel-CPT4	3.33	0.09			0.1			30.64	69.36																			
																									Ariel-CPT4	3.34	0.08			0.1			30.74	69.26																			
																									Ariel-CPT4	3.35	0.09			0.1			30.83	69.17																			
																									Ariel-CPT4	3.36	0.09			0.1			30.92	69.08																			
