PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATN	LOCA_NATE	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	ft	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATN_ft	LOCA_NATE_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_DPTH_ft	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
		JPC-006	JPC		"6,913"	"10,331,415.62"	"1,285,230.52"	Fourier																	Ariel-CPT3	0.18	0.02			0.02			1.62	18.38	JPC-004	53	4.42	TV	41.03		JPC-004	21.4	74.4	31.2				JPC-001	12.25	97	28	69	1.32
		CPT-005	CPT		"6,913"	"10,331,057.85"	"1,285,869.99"	Fourier																	Ariel-CPT3	0.19	0.02			0.03			1.71	28.29	JPC-004	89	7.42	TV	41.03									JPC-001	12.45				
		CPT-006	CPT		"6,905"	"10,331,415.62"	"1,285,230.52"	Fourier																	Ariel-CPT3	0.2	0.03			0.03			1.8	28.2	JPC-004	125	10.42	TV	61.55									JPC-001	12.65				
																									Ariel-CPT3	0.21	0.03			0.03			1.89	28.11	JPC-004	161	13.42	TV	82.07									JPC-001	12.85				
																									Ariel-CPT3	0.22	0.03			0.03			1.99	28.01	JPC-004	197	16.42	TV	82.07									JPC-001	12.95				
																									Ariel-CPT3	0.23	0.03			0.03			2.08	27.92	JPC-004	233	19.42	TV	102.58									JPC-001	15.1	122	28	94	1.19
																									Ariel-CPT3	0.24	0.03			0.03			2.17	27.83	JPC-004	269	22.42	TV	102.58									JPC-001	15.2				
																									Ariel-CPT3	0.25	0.03			0.03			2.26	27.74	JPC-004	305	25.42	TV	123.1									JPC-001	15.22	97	29	68	
																									Ariel-CPT3	0.26	0.03			0.03			2.36	27.64	JPC-004	341	28.42	TV	164.13									JPC-001	18.1	118	28	90	1
																									Ariel-CPT3	0.27	0.03			0.03			2.45	27.55	JPC-004	377	31.42	TV	184.65									JPC-001	18.2				
																									Ariel-CPT3	0.28	0.03			0.03			2.54	27.46	JPC-004	413	34.42	TV	225.68									JPC-001	18.3				
																									Ariel-CPT3	0.29	0.03			0.03			2.63	27.37	JPC-004	431	35.92	TV	143.62									JPC-001	18.5				
																									Ariel-CPT3	0.3	0.03			0.04			2.73	37.27	JPC-003	128	10.67	MV	59.289									JPC-001	21.35	76	28	48	1.15
																									Ariel-CPT3	0.31	0.04			0.04			2.82	37.18	JPC-003	164	13.67	MV	65.97									JPC-002	0.4	124	28	96	1.63
																									Ariel-CPT3	0.32	0.03			0.03			2.91	27.09	JPC-003	200	16.67	MV	70.98									JPC-002	1.8	115	29	86	
																									Ariel-CPT3	0.33	0.03			0.04			3	37	JPC-003	236	19.67	MV	97.702									JPC-002	2				
																									Ariel-CPT3	0.34	0.04			0.04			3.1	36.9	JPC-003	272	22.67	MV	137.774									JPC-002	3.7				
																									Ariel-CPT3	0.35	0.04			0.04			3.19	36.81	JPC-003	308	25.67	MV	133.722									JPC-002	3.8				
																									Ariel-CPT3	0.36	0.03			0.03			3.28	26.72	JPC-003	344	28.67	MV	133.283									JPC-002	4.1	76	28	48	2.45
																									Ariel-CPT3	0.37	0.03			0.04			3.37	36.63	JPC-003	380	31.67	MV	175.372									JPC-002	6.43	138	28	110	1.24
																									Ariel-CPT3	0.38	0.03			0.04			3.47	36.53	JPC-003	416	34.67	MV	231.491									JPC-002	6.53				
																									Ariel-CPT3	0.39	0.04			0.04			3.56	36.44	JPC-003	434	36.17	MV	240.26									JPC-002	6.63				
																									Ariel-CPT3	0.4	0.04			0.04			3.65	36.35	JPC-004	17.5	1.46	MV	16.701									JPC-002	9.27	98	27	71	1.39
																									Ariel-CPT3	0.41	0.04			0.04			3.74	36.26	JPC-004	53	4.42	MV	65.97									JPC-002	9.37				
																									Ariel-CPT3	0.42	0.04			0.04			3.83	36.17	JPC-004	89	7.42	MV	34.237									JPC-002	12.42	95	29	66	1.36
																									Ariel-CPT3	0.43	0.04			0.04			3.93	36.07	JPC-004	125	10.42	MV	73.485									JPC-002	12.62				
																									Ariel-CPT3	0.44	0.04			0.04			4.02	35.98	JPC-004	161	13.42	MV	111.063									JPC-002	12.72				
																									Ariel-CPT3	0.45	0.05			0.05			4.11	45.89	JPC-004	197	16.42	MV	102.655									JPC-002	12.82				
																									Ariel-CPT3	0.46	0.04			0.05			4.2	45.8	JPC-004	233	19.42	MV	116.163									JPC-002	15.22				
																									Ariel-CPT3	0.47	0.05			0.05			4.3	45.7	JPC-004	269	22.42	MV	126.968									JPC-002	18.05	91	27	64	1.06
																									Ariel-CPT3	0.48	0.05			0.05			4.39	45.61	JPC-004	305	25.42	MV	133.283									JPC-002	18.15				
																									Ariel-CPT3	0.49	0.05			0.06			4.48	55.52	JPC-004	341	28.42	MV	164.85									JPC-002	18.25				
																									Ariel-CPT3	0.5	0.06			0.06			4.57	55.43	JPC-004	377	31.42	MV	194.663									JPC-002	21.05	76	28	48	1.11
																									Ariel-CPT3	0.51	0.06			0.06			4.67	55.33	JPC-004	413	34.42	MV	253.424									JPC-003	0.4	116	27	89	1.64
																									Ariel-CPT3	0.52	0.06			0.06			4.76	55.24	JPC-004	431	35.92	MV	256.24									JPC-003	1.8	113	27	86	1.19
