PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATE	LOCA_NATN	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATE_ft	LOCA_NATN_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
		MD2-JPC-43-FF	JPC	40	-6850.1	2518621.33	9849649.79	NO																																												
		MD2-JPC-44-AE	JPC	60	-5070.75	2513552.15	9858035.59	NO																																												
		MD2-JPC-45-S13	JPC	40	-5587.06	2516009.57	9855128.22	YES																																												
		MD2-JPC-66-S12	JPC	60	-6330.1	2521240.66	9856911.04	NO																																												
		MD2-JPC-67-S12	JPC	40	-6991.58	2526929.76	9852339.34	NO																																												
		MD2-JPC-68-BE	JPC	40	-6980.81	2526452.61	9852293.66	NO																																												
		MD2-JPC-69-AE	JPC	50	-5142.48	2520256.95	9862752.02	YES																																												
		MD2-JPC-71-S11	JPC	50	-6616.85	2524407.32	9856752.74	NO																																												
		MD2-JPC-73-BE	JPC	50	-7011.15	2528226.9	9852169.83	NO																																												
		MD2-JPC-78-AE	JPC	60	-4628.34	2513635.04	9874791.44	NO																																												
		MD2-JPC-79-AE	JPC	40	-4712.23	2514000.89	9874350.2	NO																																												
		MD2-JPC-81-AE	JPC	50	-5501.85	2524113.26	9864269.34	NO																																												
		MD2-JPC-83-S12	JPC	40	-6086.03	2519247.58	9855804.15	YES																																												
		MD2-PC-01-AE	PC	20	-4720.39	2500895.83	9846149.11	YES																																												
		MD2-PC-02-S16	PC	20	-5985.79	2504915.29	9844151.87	YES																																												
		MD2-PC-05-S16	PC	20	-6869.49	2510510.2	9841382.27	YES																																												
		MD2-PC-07-AE	PC	30	-5124.93	2503775.11	9848938.67	YES																																												
		MD2-PC-08-AE	PC	20	-5031.9	2503960.38	9848034.67	YES																																												
		MD2-PC-100-BE	PC	20	-7062.9	2522334.76	9845963.44	YES																																												
		MD2-PC-101-BE	PC	20	-7136.85	2524170.2	9841497.6	YES																																												
		MD2-PC-102-BE	PC	20	-7140.01	2526207.07	9843143.54	YES																																												
		MD2-PC-104-BE	PC	20	-7055.36	2529525.33	9851106.21	YES																																												
		MD2-PC-106-S10	PC	20	-6481.73	2527787.69	9862422	YES																																												
		MD2-PC-107-F	PC	30	-4931.15	2511392.68	9860766.86	NO																																												
		MD2-PC-108-F	PC	30	-4990.52	2511228.36	9860145.33	NO																																												
		MD2-PC-110-BE	PC	20	-7008.01	2528136.42	9852277	NO																																												
		MD2-PC-114-F	PC	30	-4944.76	2513268.56	9861152.75	NO																																												
		MD2-PC-116-F	PC	30	-4910.46	2512610.49	9861333.43	NO																																												
		MD2-PC-11-AE	PC	20	-5056.7	2503449.69	9851335.01	YES																																												
		MD2-PC-120-F	PC	30	-5002.04	2515239.68	9860636.38	NO																																												
		MD2-PC-126-F	PC	30	-4944.93	2517559.28	9865985.69	NO																																												
